service,centralidad_score,nivel,degree
S3,1.0,Fundamental,67
Lambda,0.8374807943107618,Fundamental,62
EC2,0.597545258293912,Fundamental,49
DynamoDB,0.584912186522862,Fundamental,45
ApiGateway,0.4795111152461532,Integrador,38
RDS,0.42783719304498113,Integrador,35
EKS,0.3738449900239321,Integrador,31
SQS,0.3504190928249,Integrador,29
StepFunctions,0.3434662144588096,Integrador,27
OpenSearch,0.3104207336479767,Integrador,26
SageMaker,0.29446111298215494,Especializado,26
Athena,0.28256366389900855,Especializado,24
SNS,0.26469606574767174,Especializado,21
Aurora,0.26000032293078357,Especializado,24
CloudFront,0.2596722588335512,Especializado,23
ECS,0.24703240909253504,Especializado,21
Firehose,0.24240055804887017,Especializado,19
RedShift,0.23450130159077354,Especializado,20
CloudFormation,0.2312200927663789,Especializado,14
Kinesis,0.22847087940944044,Especializado,20
Glue,0.22788044258713536,Especializado,20
CloudWatch,0.22555254837215222,Especializado,20
WAF,0.22528814413024426,Especializado,15
EMR,0.21795750641625186,Especializado,17
ALB,0.2140400239440972,Especializado,19
ElastiCache,0.20705035592306698,Especializado,18
Route53,0.19759488509976952,Especializado,16
Fargate,0.18323780126128555,Especializado,15
ELB,0.18247656607565427,Especializado,14
LambdaAtEdge,0.16961769984133768,Especializado,9
QuickSight,0.15861525321238873,Especializado,11
Cognito,0.1562249612213601,Especializado,9
CodePipeline,0.15366905935021563,Especializado,6
Neptune,0.15285774992966433,Especializado,6
Comprehend,0.15271395385521794,Especializado,9
ECR,0.15110923870196324,Especializado,10
DMS,0.14883687622920416,Especializado,9
KMS,0.14621371365520375,Especializado,7
IAM,0.14432331445207347,Especializado,7
IoTCore,0.1377995326434991,Especializado,7
EventBridge,0.1370762728834571,Especializado,7
CloudTrail,0.13700897405284265,Especializado,5
GuardDuty,0.13449219659677214,Especializado,4
MSK,0.1330349121708762,Especializado,7
Transcribe,0.1307718377187419,Especializado,6
FSX,0.12990484869906768,Especializado,3
DirectConnect,0.11724130710502359,Especializado,4
Translate,0.11694459069537855,Especializado,3
Batch,0.11630050743290903,Especializado,3
EFS,0.11607667670692362,Especializado,4
Rekognition,0.11499703984973042,Especializado,6
VPC,0.11228517777719163,Especializado,4
KinesisAnalytics,0.10974301191884006,Especializado,3
KinesisDataStream,0.10974301191884006,Especializado,3
Amplify,0.10944102798255785,Especializado,3
Pinpoint,0.10743264539236824,Especializado,3
Connect,0.10517656716024533,Especializado,4
Textract,0.10367825432546611,Especializado,3
VPN,0.10363312874656284,Especializado,3
MediaConvert,0.1022521957924502,Especializado,3
ServiceCatalog,0.10203434548462315,Especializado,3
PrivateLink,0.10031123504068885,Especializado,3
BeanStalk,0.10013138195484486,Especializado,2
AppSync,0.09672671167911917,Especializado,4
NLB,0.096401981225306,Especializado,3
EBS,0.09391922956730647,Especializado,3
CodeCommit,0.08988972630041125,Especializado,2
Lex,0.08961716122285869,Especializado,3
SecurityHub,0.08942690864924083,Especializado,2
CodeBuild,0.08730644100270747,Especializado,2
SystemsManager,0.08469941089727923,Especializado,2
LakeFormation,0.0802959337076689,Especializado,1
StorageGateway,0.0802959337076689,Especializado,1
MediaPackage,0.0802959337076689,Especializado,1
VPCPeering,0.07648079909275343,Especializado,1
ShieldAdvanced,0.07497491445870337,Especializado,1
TransitGateway,0.06669782144466196,Especializado,1
Inspector,0.0666413224676799,Especializado,1
